,INDUSTRY_GICS,MKT,BACKDOOR,IPO_DATE,IPO_PRICE,IPO_AMOUNT,IPO_EXPENSE,IPO_LEADUNDR,IPO_TYPE,ipotime,iporeturn,ipoturn
002925.SZ,信息技术,中小企业板,否,2018,22.5,75000000,89444300,招商证券股份有限公司,"网下询价,上网定价",20,114.3209877,0.0134586
002926.SZ,金融,中小企业板,否,2018,9.46,525000000,104142200,中信证券股份有限公司,"网下询价,上网定价",20,4.992657856,1.574685931
002927.SZ,工业,中小企业板,否,2018,14.78,23450000,36041962,广发证券股份有限公司,"网下询价,上网定价",24,135.8552632,2.117379665
002928.SZ,工业,中小企业板,否,2018,20.64,40500000,65539700,东兴证券股份有限公司,"网下询价,上网定价",24,39.7039031,2.705245256
002929.SZ,信息技术,中小企业板,否,2018,23.95,55186600,65758491,中信建投证券股份有限公司,"网下询价,上网定价",24,60.9162076,3.287370205
002930.SZ,工业,中小企业板,否,2018,8.53,60830000,41097500,东莞证券股份有限公司,"网下询价,上网定价",23,114.5765472,0.017112313
002931.SZ,工业,中小企业板,否,2018,12.36,22220000,45811500,九州证券股份有限公司,"网下询价,上网定价",21,94.88764045,0.043947749
300037.SZ,材料,创业板,否,2010,28.99,27000000,51546686.78,华泰联合证券有限责任公司,"网下询价,上网定价",23,44.87754398,77.92158333
300038.SZ,信息技术,创业板,否,2010,26,23000000,46700000,招商证券股份有限公司,"网下询价,上网定价",23,38.46153846,65.07323913
300039.SZ,医疗保健,创业板,否,2010,38,27400000,67442445.38,东吴证券股份有限公司,"网下询价,上网定价",23,19.68421053,61.22327555
300040.SZ,工业,创业板,否,2010,33,18000000,46186732.9,中德证券有限责任公司,"网下询价,上网定价",23,26.90909091,60.98444444
300041.SZ,材料,创业板,否,2010,36.4,17000000,47625926.86,海通证券股份有限公司,"网下询价,上网定价",23,27.44505495,67.25718382
300042.SZ,信息技术,创业板,否,2010,39,16800000,43216750,平安证券股份有限公司,"网下询价,上网定价",23,34.48717949,65.00372024
300043.SZ,可选消费,创业板,否,2010,43.98,13200000,32000000,广发证券股份有限公司,"网下询价,上网定价",22,13.73351523,59.5833428
300044.SZ,信息技术,创业板,否,2010,22,20000000,55017500,招商证券股份有限公司,"网下询价,上网定价",22,29.09090909,58.90424375
